id	value	name	title			
01	152.33	Alabama	AL			
02	173.44	Alaska	AK			
04	205.27	Arizona	AZ			
05	156.46	Arkansas	AR			
06	205.27	California	CA			
08	207.833	Colorado	CO			
09	264.33	Connecticut	CT			
10	227	Delaware	DE			
11	220.33	District Of Columbia	DC			
12	208	Florida	FL			
13	153.08	Georgia	GA			
15	240	Hawaii	HI			
16	173.33	Idaho	ID			
17	169.44	Illinois	IL			
18	177.16	Indiana	IN			
19	171.44	Iowa	IA			
20	172.44	Kansas	KS			
21	170.22	Kentucky	KY			
22	134.6	Louisiana	LA			
23	244.33	Maine	ME			
24	220.33	Maryland	MD			
25	246.66	Massachusetts	MA			
26	195.74	Michigan	MI			
27	210.66	Minnesota	MN			
28	154.16	Mississippi	MS			
29	162.22	Missouri	MO			
30	191.66	Montana	MT			
31	187.66	Nebraska	NE			
32	178.16	Nevada	NV			
33	0	New Hampshire	NH			
34	227	New Jersey	NJ			
35	184.5	New Mexico	NM			
36	241.62	New York	NY			
37	180.8	North Carolina	NC			
38	206.33	North Dakota	ND			
39	178.944	Ohio	OH			
40	142.5	Oklahoma	OK			
41	204.33	Oregon	OR			
42	210.58	Pennsylvania	PA			
44	210.33	Rhode Island	RI			
45	165.63	South Carolina	SC			
46	174.83	South Dakota	SD			
47	161.9	Tennessee	TN			
48	144.33	Texas	TX			
49	164.16	Utah	UT			
50	235	Vermont	VT			
51	188.94	Virginia	VA			
53	213.79	Washington	WA			
54	208.33	West Virginia	WV			
55	196.43	Wisconsin	WI			
56	186.5	Wyoming	WY			
60	0	American Samoa	AS			
66	0	Guam	GU			
69	0	Northern Mariana Islands	MP			
72	0	Puerto Rico	PR			
78	0	Virgin Islands	VI			
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						]
