id	rate
01001	149.67
01003	149.67
01005	149.67
01007	153.33
01009	153.33
01011	149.67
01013	149.67
01015	153.33
01017	149.67
01019	156.67
01021	153.33
01023	149.67
01025	149.67
01027	153.33
01029	153.33
01031	149.67
01033	156.67
01035	149.67
01037	149.67
01039	149.67
01041	149.67
01043	156.67
01045	149.67
01047	149.67
01049	156.67
01051	149.67
01053	149.67
01055	156.67
01057	153.33
01059	156.67
01061	149.67
01063	153.33
01065	153.33
01067	149.67
01069	149.67
01071	156.67
01073	153.33
01075	153.33
01077	156.67
01079	156.67
01081	149.67
01083	156.67
01085	149.67
01087	149.67
01089	156.67
01091	149.67
01093	153.33
01095	156.67
01097	149.67
01099	149.67
01101	149.67
01103	156.67
01105	153.33
01107	153.33
01109	149.67
01111	149.67
01113	149.67
01115	153.33
01117	153.33
01119	153.33
01121	153.33
01123	149.67
01125	153.33
01127	153.33
01129	149.67
01131	149.67
01133	153.33
02013	286.67
02016	286.67
02020	286.67
02050	286.67
02060	286.67
02068	286.67
02070	286.67
02090	286.67
02100	286.67
02105	286.67
02110	286.67
02122	286.67
02130	286.67
02150	286.67
02164	286.67
02170	286.67
02180	286.67
02185	286.67
02188	286.67
02195	286.67
02198	286.67
02220	286.67
02230	286.67
02240	286.67
02261	286.67
02275	286.67
02282	286.67
02290	286.67
04001	174.00
04003	172.33
04005	174.00
04007	174.00
04009	172.33
04011	172.33
04012	174.00
04013	174.00
04015	174.00
04017	174.00
04019	172.33
04021	174.00
04023	172.33
04025	174.00
04027	174.00
05001	152.33
05003	152.33
05005	156.00
05007	156.00
05009	156.00
05011	152.33
05013	152.33
05015	156.00
05017	152.33
05019	152.33
05021	152.33
05023	152.33
05025	152.33
05027	152.33
05029	152.33
05031	152.33
05033	165.67
05035	152.33
05037	152.33
05039	152.33
05041	152.33
05043	152.33
05045	152.33
05047	165.67
05049	152.33
05051	152.33
05053	152.33
05055	152.33
05057	152.33
05059	152.33
05061	152.33
05063	152.33
05065	152.33
05067	152.33
05069	152.33
05071	165.67
05073	152.33
05075	152.33
05077	152.33
05079	152.33
05081	152.33
05083	165.67
05085	152.33
05087	165.67
05089	156.00
05091	152.33
05093	152.33
